,dropout,dropout_rate,train_acc,train_reward
0,None,0.0,0.1590697215055937,0.3856583004681483
1,random,0.2,0.1590755782270392,0.3927881805985062
2,random,0.4,0.1592434359189086,0.4021780261420775
3,random,0.6,0.1570515069343669,0.3912100630878198
4,random,0.8,0.1570256506836477,0.373565598736976
5,quantile,0.2,0.2074346711474612,0.4695830513732602
6,quantile,0.4,0.3061012630623641,0.4425275385145654
7,quantile,0.6,0.3087690165746289,0.4251850816503786
8,quantile,0.8,0.2953131011542023,0.4868467595306979
